#Contraste,#Energia,#Homogeneidad,#Momento_Hu1,#Momento_Hu2,#Momento_Hu3,#Momento_Hu4,#Momento_Hu5,#Momento_Hu6,#Momento_Hu7,#Media_Color_R,#Media_Color_G,#Media_Color_B,#Desv_Estandar_Color_R,#Desv_Estandar_Color_G,#Desv_Estandar_Color_B,#Clase
0.93820817,0.365570414,9.685083987,0.00186304,4.70E-08,1.84E-11,1.33E-10,3.78E-21,1.36E-14,5.36E-21,123.3897662,88.25563987,108.8874077,49.1426928,55.66050895,48.15686995,3
0.965047402,0.278691846,11.27417582,0.001278751,4.49E-08,1.41E-11,6.17E-11,1.82E-21,1.30E-14,8.08E-23,159.6660079,136.8308865,146.4009034,20.70736241,40.76795434,34.11196344,4
0.978543042,0.273850235,10.83829882,0.001125078,2.05E-07,1.07E-10,6.10E-11,-4.76E-21,1.30E-14,1.25E-21,156.2207207,114.8804376,127.9746461,28.47125594,57.17841967,47.18134735,4
0.986708784,0.360948885,10.15746093,0.001229871,1.50E-07,9.03E-11,5.72E-11,3.98E-21,1.35E-14,1.03E-21,150.1263975,123.2596104,159.0227683,13.55523228,33.98903971,21.93031761,4
0.932992316,0.345063449,10.30807245,0.002684618,6.81E-07,2.13E-09,1.82E-10,9.28E-20,-4.89E-14,-6.54E-20,148.3107208,74.74750151,103.1630073,71.89572776,56.4056051,57.62131098,1
0.985585773,0.284894282,10.66508727,0.001343945,2.27E-07,1.26E-10,2.28E-11,-3.59E-22,8.68E-15,1.17E-21,147.9968603,128.0502355,165.6759114,29.28203599,74.72146725,55.3623269,2
0.97297561,0.265598411,11.28998727,0.001467116,3.69E-07,1.72E-10,1.12E-10,-1.28E-20,-6.37E-14,-8.74E-21,164.9798422,114.4802805,133.888127,20.75802888,48.60551027,35.79981866,4
0.958547631,0.437821306,8.751871817,0.001612722,1.06E-07,4.84E-10,5.43E-13,7.44E-24,-1.54E-16,4.71E-24,101.950744,87.1358631,110.6489583,65.19359071,85.60859415,84.16084276,2
0.953709799,0.217115161,11.88825413,0.002435951,4.10E-07,8.38E-10,2.42E-10,1.60E-20,2.25E-14,1.08E-19,152.4414261,97.18400841,119.3475625,19.10769571,43.30429868,33.9165617,4
0.982395952,0.270830667,10.44753617,0.001376477,8.59E-08,1.66E-10,2.48E-11,3.49E-23,-6.52E-15,-1.59E-21,147.2374429,138.0896119,154.5941781,28.34641677,55.28824907,51.74926264,2
0.909534414,0.348336701,10.25831839,0.002382564,7.01E-08,9.16E-11,1.06E-10,2.56E-21,2.80E-14,1.01E-20,158.5068084,107.364429,131.3762542,19.0715222,46.4756731,29.02700853,1
0.894001736,0.348899197,9.903488905,0.001890556,1.39E-07,5.80E-10,4.25E-10,4.81E-20,1.48E-13,-2.06E-19,156.0891517,101.8211336,120,31.00441535,57.74538731,46.55253095,1
0.92453035,0.386316353,9.730953852,0.001793657,1.74E-07,4.11E-10,2.94E-12,-9.11E-23,9.15E-16,-4.62E-23,131.198602,89.38569079,100.2621299,59.13453062,56.8306877,54.64379416,1
0.976179457,0.240027544,11.49091833,0.002074007,8.65E-07,5.91E-11,5.00E-13,1.88E-24,4.13E-16,1.96E-24,137.8853244,123.1938143,144.1879653,24.30943731,60.05396746,52.59157399,2
0.988396462,0.340840799,10.52338858,0.001472291,2.31E-07,4.67E-10,2.73E-10,9.73E-20,1.28E-14,-7.13E-21,136.2941176,111.1928772,115.8031212,48.64018068,51.98901573,47.49913074,4
0.913882171,0.330473646,10.04645685,0.00497051,6.67E-06,4.18E-08,7.71E-09,-1.36E-16,-1.94E-11,2.74E-17,116.4552157,73.32470588,105.8796863,44.68104123,41.0065817,46.69165726,2
0.983252277,0.388063309,10.0317067,0.003713214,3.94E-06,3.87E-09,9.03E-10,6.09E-19,7.47E-13,1.58E-18,155.1423481,99.31798575,130.3265191,13.42600765,34.6189236,19.44187738,2
0.93986938,0.428306633,8.800810256,0.002495327,2.40E-07,2.30E-10,6.68E-10,9.10E-20,3.25E-13,-2.45E-19,109.5952614,74.73202614,92.30294118,62.93327266,54.7604476,55.30621581,3
0.934095632,0.440161404,8.570812541,0.001731936,3.78E-09,1.34E-10,1.94E-10,3.03E-20,9.70E-15,7.92E-21,114.7474196,84.78729002,104.0331917,66.27864123,63.61659316,63.20770552,3
0.93085224,0.323368556,10.02015191,0.001647118,5.97E-08,3.15E-11,1.57E-10,-2.98E-22,-3.78E-14,1.10E-20,117.3757949,99.43302564,127.1585641,48.20704394,70.58166956,62.86927492,3
0.976432726,0.321652571,9.852310441,0.001495217,8.70E-08,7.79E-11,7.92E-11,5.09E-21,1.24E-14,-3.57E-21,147.8581944,114.8022222,132.90625,10.59576839,44.44823201,27.69470898,3
0.940600511,0.414079439,9.216351641,0.001811172,2.01E-08,2.50E-11,1.00E-10,-4.79E-21,-1.15E-14,1.46E-21,103.9400175,89.66467141,125.7402419,53.7757002,68.81309442,64.59558298,3
0.983093067,0.356458209,9.580916065,0.001420642,5.39E-08,1.38E-12,3.18E-12,6.32E-24,7.06E-16,-2.10E-24,162.6999214,130.8801388,159.3792223,6.376972557,34.45623833,9.579767254,4
0.903338389,0.291354193,10.18442764,0.001598652,8.53E-09,2.31E-10,1.36E-10,2.19E-20,1.25E-14,-1.03E-20,113.3445091,120.832364,130.1063975,37.08611757,58.38599735,63.93791065,2
0.985030235,0.311790116,11.00463512,0.001228553,1.26E-07,2.11E-11,1.61E-11,2.89E-22,5.71E-15,7.08E-23,181.8305804,129.3194196,151.2614583,15.08044952,51.23211704,33.23640883,4
0.985558264,0.323305321,10.10168076,0.003782596,5.57E-06,1.14E-08,2.61E-09,1.22E-17,5.74E-12,-7.45E-18,105.368622,92.59059354,135.0253384,18.81722611,30.65643958,19.84389923,3
0.932690655,0.34266084,9.966251258,0.001882122,4.66E-08,4.89E-10,1.19E-10,2.80E-20,1.55E-14,-5.80E-21,107.4679752,89.84974747,133.9476584,43.43051862,66.77535417,56.15111054,3
0.896906696,0.339001541,9.022936092,0.001542329,2.11E-08,7.27E-11,1.05E-10,-6.99E-21,-1.38E-14,5.84E-21,108.8913319,90.37885835,116.5027484,64.04101181,78.57871868,77.78422269,1
0.907709221,0.32513108,9.309588842,0.001806943,5.16E-09,4.45E-12,2.30E-11,-6.00E-23,-4.05E-16,2.25E-22,97.99434343,86.73777778,109.6307071,50.61867712,70.47215889,66.60561588,1
0.989369573,0.328191408,10.22803806,0.001901213,2.79E-07,3.58E-10,7.93E-11,1.22E-20,-2.70E-14,5.37E-21,139.1651401,120.5515379,150.7745044,14.36300933,50.10709559,29.14533208,2
0.984235727,0.278136945,11.02818731,0.001857254,4.90E-07,6.40E-10,4.08E-10,-2.08E-19,-2.37E-13,1.02E-20,159.1032279,111.9821592,131.9754377,23.41510191,50.74705633,39.95355648,4
0.993584556,0.303763892,10.601884,0.00170153,1.55E-07,3.38E-10,2.09E-10,-5.55E-20,-8.18E-14,1.27E-21,169.1647615,127.2671849,134.4013108,15.05272395,51.18688935,46.84510979,2
0.945853198,0.510635328,8.227036651,0.001778196,5.95E-08,9.75E-11,2.02E-10,2.54E-20,-1.09E-14,1.28E-20,115.3698888,74.97305446,86.77030337,76.02925427,62.446732,61.6211108,1
0.946604167,0.428238328,8.73419129,0.002494756,1.79E-07,1.08E-09,3.09E-10,-1.14E-20,1.30E-13,1.77E-19,100.6038707,64.24733665,80.51296165,62.77109563,55.26757366,54.99988548,3
0.930928569,0.489393891,7.748534056,0.003932441,7.11E-06,3.41E-10,1.82E-09,9.69E-19,3.50E-12,-1.06E-18,70.33237493,56.69953997,78.6506613,55.29185925,54.06995825,63.05839128,1
0.975645835,0.301837723,9.613338684,0.001429119,8.76E-08,9.37E-12,4.26E-12,2.66E-23,6.88E-16,-4.02E-24,150.0116132,115.7529561,130.0181588,9.336478983,43.79373046,23.39319659,3
0.979289294,0.273012288,10.472082,0.001034712,1.55E-09,5.90E-13,4.30E-13,1.90E-25,1.28E-17,1.00E-25,168.3433119,154.4007831,173.6598459,16.0099631,41.65734035,34.11190703,4
0.900228541,0.32728396,9.37425259,0.001850466,7.27E-08,1.73E-10,2.60E-10,5.50E-20,6.12E-14,-3.67E-21,90.59652058,83.45466711,104.8929408,48.66720617,66.68952323,65.13253272,1
0.964787825,0.233048214,10.6743102,0.00332515,1.99E-06,7.30E-09,3.57E-09,1.81E-17,5.04E-12,2.26E-18,147.2468354,85.74033527,122.4426959,8.962487074,40.01582784,18.28735499,3
